cpu_score,gpu_score,ram_gb,ssd_nvme,label
45285,22472,128,1,2
13769,15767,32,1,0
15863,37759,8,1,0
12876,15307,16,1,0
21662,18432,64,1,2
15152,35408,8,1,0
8007,38277,16,1,0
34885,16675,32,1,2
5027,1684,32,1,1
17221,15987,16,1,0
11293,27500,32,1,0
10605,789,64,1,1
5252,2454,64,1,1
46955,34536,64,1,2
13233,2341,64,1,1
20194,31191,16,1,0
32917,34379,64,1,2
13249,1495,32,1,1
13353,923,32,1,1
18475,16545,32,1,0
7395,375,64,1,1
32220,32789,32,1,2
32298,36537,64,1,2
15671,25271,32,1,0
8417,989,64,1,1
33101,39184,32,1,2
41006,16438,128,1,2
44257,29456,128,1,2
21593,23605,64,1,2
9400,39091,16,1,0
43657,20832,128,1,2
48544,22256,128,1,2
25804,17284,64,1,2
25744,15315,64,1,2
9187,773,16,1,1
36514,25299,32,1,2
19117,39866,32,1,0
7090,1608,64,1,1
6691,2541,32,1,1
22262,23724,32,1,0
23428,13259,16,1,0
27522,21181,32,1,0
34334,27726,32,1,2
7276,1081,64,1,1
35214,27662,64,1,2
11916,19749,8,1,0
13424,38767,8,1,0
35189,17687,64,1,2
18570,32590,8,1,0
13019,28485,32,1,0
9121,2121,32,1,1
5131,1753,32,1,1
17001,22671,16,1,0
11120,27319,8,1,0
49740,34862,64,1,2
39337,29572,128,1,2
40766,28486,64,1,2
17942,25873,8,1,0
12622,1543,64,1,1
6823,1776,64,1,1
28809,35759,16,1,0
21040,21237,64,1,2
6604,2638,64,1,1
22744,38301,128,1,2
17308,23195,32,1,0
34094,21656,32,1,2
21442,39349,32,1,2
6880,538,64,1,1
11879,2151,16,1,1
29858,37339,32,1,0
17534,34415,32,1,0
9535,2600,16,1,1
12996,916,16,1,1
49163,35044,32,1,2
24454,30198,8,1,0
18349,25744,32,1,0
4985,1363,16,1,1
47167,30893,32,1,2
11712,26712,16,1,0
30914,29195,64,1,2
40029,30603,128,1,2
33125,29784,128,1,2
10721,1453,16,1,1
36707,39198,64,1,2
11218,981,64,1,1
25294,29900,64,1,2
45344,22018,128,1,2
14924,1123,16,1,1
12239,16308,32,1,0
12186,23906,32,1,0
38231,24501,64,1,2
21194,36279,32,1,2
12139,23613,32,1,0
37690,15917,32,1,2
7326,2596,32,1,1
29019,15440,128,1,2
6063,2515,32,1,1
21784,37026,128,1,2
9157,848,16,1,1
31442,18859,32,1,2
24109,33596,16,1,0
44506,32125,128,1,2
8976,2602,32,1,1
6466,647,16,1,1
38227,38362,32,1,2
45343,25343,32,1,2
18310,28508,16,1,0
28754,37356,8,1,0
16957,25739,32,1,0
26532,35643,8,1,0
14724,876,32,1,1
9148,2453,16,1,1
23986,22210,32,1,2
18096,32371,16,1,0
10148,1322,16,1,1
22452,33643,32,1,0
12876,1039,32,1,1
9298,37291,8,1,0
10694,2447,32,1,1
5322,314,16,1,1
22525,38768,128,1,2
5216,1037,16,1,1
10483,32551,8,1,0
14698,1777,64,1,1
35666,39344,128,1,2
38604,27883,32,1,2
10069,15990,8,1,0
21666,38394,32,1,2
41865,30731,64,1,2
11854,1916,64,1,1
13059,2998,16,1,1
42362,36603,64,1,2
23936,26070,32,1,2
12171,27989,8,1,0
13375,17209,32,1,0
7907,302,16,1,1
12382,1652,16,1,1
9105,21368,8,1,0
14808,17575,32,1,0
19553,30643,32,1,0
12410,38289,16,1,0
44454,34265,32,1,2
7932,446,16,1,1
23812,39719,64,1,2
20758,29442,32,1,2
9261,16248,8,1,0
10489,2162,16,1,1
5403,668,64,1,1
14047,1379,16,1,1
11298,22485,8,1,0
45876,28449,32,1,2
9231,22802,32,1,0
30559,35556,32,1,2
6906,502,16,1,1
5915,2973,16,1,1
11579,1102,16,1,1
28401,38411,32,1,0
18367,30527,32,1,0
14336,1223,16,1,1
27318,24908,16,1,0
23160,16798,128,1,2
46956,35241,32,1,2
26467,39263,32,1,2
44725,34798,128,1,2
25164,21050,64,1,2
17294,17757,32,1,0
7774,2724,64,1,1
14729,2409,64,1,1
10270,2793,64,1,1
14257,1365,64,1,1
8818,803,64,1,1
25052,32267,8,1,0
25917,25245,32,1,2
9731,25524,8,1,0
13485,1624,32,1,1
9955,776,64,1,1
20054,23580,32,1,2
34893,30918,64,1,2
43576,37199,32,1,2
45948,26289,32,1,2
6086,2282,16,1,1
20242,34964,8,1,0
46887,25340,64,1,2
10353,2399,64,1,1
7873,1600,16,1,1
45878,24242,64,1,2
11737,1326,64,1,1
4827,866,64,1,1
18378,13294,16,1,0
17679,39063,16,1,0
8738,1202,16,1,1
